Occupation Name,Verb-Noun Pairs,Matched Verb-Noun Pairs from AI
Refuse and Recyclable Material Collectors,inform customer,"assist customer, inform information"
First-Line Supervisors of Office and Administrative Support Workers,"facilitate productivity, overcome aspect","facilitate mobility, facilitate configuration, improve distribution, facilitate functionality, improve processing, enable distribution, facilitate communication, optimize saturation, enable mobility, facilitate environment, improve environment, accelerate aspect, improve production, improve automation, facilitate engagement, maintain synchronization, facilitate function, facilitate validation, improve utilization, facilitate remediation, facilitate aggregation, optimize productivity, facilitate evaluation, enhance activity, facilitate instruction, facilitate experience, facilitate adjustment, manage synchronization, enable management, facilitate participation, improve communication, enhance engagement, enhance allocation, facilitate modification, manage utilization, facilitate evolution, facilitate mitigation, facilitate production, facilitate localization, enhance accessibility, facilitate acquisition, facilitate conversation, enable environment, enable activity, stabilize processing, facilitate improvement, facilitate application, facilitate conversion, facilitate interface, facilitate transaction, facilitate proficiency, facilitate identification, facilitate processing, facilitate interpretation, facilitate advertising, facilitate compression, accelerate development, facilitate classification, enhance management, optimize aggregation, optimize utilization, improve operation, facilitate performance, improve interaction, facilitate integration, enhance optimization, facilitate installation, facilitate maintenance, enhance development, improve concentration, enhance interaction, facilitate technology, facilitate collaboration, promote processing, facilitate understanding, facilitate recognition, enhance operation, improve productivity, facilitate perception, facilitate management, enable interaction, optimize communication, facilitate rehabilitation, facilitate development, facilitate optimization, facilitate prediction, facilitate interaction, facilitate efficiency, enhance consolidation, enable communication, enable integration, optimize synchronization, enhance communication, facilitate visualization, facilitate synchronization, facilitate generation, facilitate enhancement, enhance efficiency, facilitate quality"
"Environmental Scientists and Specialists, Including Health",obtain use,"use access, use reasoning, use compound, use distillation, use terminal, use prescription, use intelligence, use doppler, use pseudonym, use adaptability, use distance, use lactate, use exercise, use assistant, use molecule, use estimator, use catalyst, use transfer, use provenance, use intermediary, use confidence, use scanning, use sensor, use curricula, use tracing, use asset, use emulation, use ultrasound, use spectrum, use spectra, use apparatus, use appliance, use filtration, use making, use heuristic, use extension, use psilocybin, use resin, use regression, use maze, identify use, use strength, use geometry, use automation, use utterance, use variable, use spline, use preparation, use planner, use reality, use scan, use protection, use ledger, use trajectory, use scale, reduce use, manage use, use modeling, use radix, use topology, use reinforcement, use assembly, use accumulation, use collaboration, use fingerprinting, use polymer, use running, use neuroscience, use ellipse, use lithography, use support, use perturbation, use document, use satellite, use detection, use metadata, use patch, use background, use lineage, use normalizer, use conversion, use affect, use reaction, use programming, use example, use server, use functionality, use synchronization, use attribute, use processing, use pillar, use content, use override, use secret, use interaction, use repository, use credential, use domain, use counter, use combination, use value, use circumstance, use illustration, use normalization, use lattice, use tetracycline, use sensing, use location, use consensus, use collection, use candidate, use consumer, use discovery, use count, use particle, use tensor, use assessment, use recovery, use guesser, use relevance, use abstract, use difference, use resource, use mutation, use occupancy, use management, use update, use heartbeat, monitor use, use database, use surveillance, use vector, use cognition, use universal, use surrogate, use voting, use similarity, use argument, use palette, use case, determine use, use pipeline, classify use, use keypad, use input, use localization, use automobile, use clustering, use pegboard, use allocation, use gesture, use deferral, use buffer, use message, use potential, use weighting, use capture, facilitate use, use correlation, use type, use sampling, use matrix, use asymmetry, use diagnosis, use packaging, use algorithm, use resonance, use connection, use parameter, use operator, use configuration, use factorization, use signature, use entity, use magnification, use plurality, use fabric, use tiling, use washer, use polymerization, use object, use packer, use logic, use measurement, use imagery, use index, use reasoner, use propensity, use LOGIC, use contract, use pose, use skip, use manipulator, use evaluation, use portion, use environment, use accent, use integration, use hydrogel, use sentiment, use profiling, use quantification, use tomography, use property, use patient, use routine, use community, use shield, use indicator, use dialogue, use depolarization, use formulation, use quotient, use characteristic, use contour, use definition, use consistency, use controller, use depth, use field, use provider, use evolution, use variant, use overlay, use absorption, use measure, use subunit, use output, use fluctuation, use benzodiazepine, use graphic, use relation, use representation, use circuit, use workflow, use forecasting, use stub, use projection, use cache, use reclassification, use classification, use scheme, use recording, use computation, modify use, use boundary, use mean, use uncertainty, use behavior, use electrocardiogram, use convolution, use imitation, use consumption, use template, use commerce, use compression, use reconstruction, use plating, use device, use internet, use discrimination, use protease, use diagram, use partitioning, use pharmaceutical, use certificate, use landmark, use relay, use volume, use verification, use synthesis, use steering, use neighborhood, use generation, use instance, use interrogation, use query, use header, use coupling, use optimization, use encoding, use exception, use function, use insight, use module, use comprehension, use summarization, use descent, use factor, use cookie, use therapy, use sweep, use ligation, use computing, use scaling, use generator, use dispersal, use medium, use technology, use signal, use information, use component, use bottleneck, use resolution, use sensitivity, use alloy, use instantiation, use interpolation, use slice, use framework, use character, use surface, use concatenation, use collision, use token, use handler, use correspondence, use product, use bonding, use analysis, use differentiator, use premise, use thermography, use dynamic, use control, use antibody, use client, use feed, use bandwidth, use stability, use mixture, use composition, use taxonomy, use texture, use catheter, use variance, use reconnaissance, use inhibitor, use switching, use representative, use anatomy, use metric, use equilibrium, use constraint, use navigation, use antenna, use utility, use canvas, use proxy, use neighbor, use spectrometry, use picture, use honeypot, use construct, use validation, use dimension, support use, use monitoring, use grating, use phrase, use problem, use oracle, use security, use question, use inspection, use prior, use statistic, use actuator, use personality, use sequence, use tending, use intensity, use induction, use vocabulary, use choice, use physiology, adjust use, use movement, use radiation, use address, use architecture, use evidence, use perspective, detect use, use language, use identifier, use tracker, use conversation, use reset, use stimulus, use stack, use tachograph, use forward, use hardware, use form, use compiler, use revenue, use amplification, use understanding, use ethernet, use wearable, use catalog, use dialog, use driving, use agency, use criterion, use interface, use cluster, use retrieval, use context, use predictor, use reduction, use departure, use packet, use segment, use electrolysis, use spelling, use waveform, use diversity, use activity, use equipment, use service, use balancing, use manner, use display, use substitution, use interval, use algebra, use recommendation, use thesaurus, use simulator, use learning, use basis, use primitive, use experience, use warping, use profile, use attention, use authentication, use envelope, use perforation, use transducer, use repertoire, use portal, use evaluator, use network, use annotation, use irradiation, use primer, use locator, use guide, use inference, use tocopherol, use ablation, use principle, optimize use, use separation, use blueprint, use machine, use transaction, use direction, use approach, use result, use seam, use sensitizer, use block, use string, use reagent, use alias, use procedure, use gradient, use solution, use infrastructure, use bacteriophage, use symmetry, use grouping, use interest, use program, use capacity, use polygon, use memory, use illumination, use inversion, use adjustment, use oscillator, use contrast, use indication, use instruction, use frame, use optic, use modulus, use detector, use target, use channel, use check, use description, use stimulation, use decomposition, use temperature, use rotation, use hologram, use juxtaposition, use oscillation, use pressure, use orchestration, use priming, use diffusion, use pattern, use encryption, use commodity, use protein, use instrument, use probe, use ranking, use spreadsheet, use discriminator, use aggregation, use ensemble, use authorization, use symbol, use adaptation, use gateway, use occurrence, use shard, use change, use processor, use extraction, use planning, use modality, use training, use biofeedback, use quantum, use cardiogram, use visualization, use wallet, use conditioning, prevent use, use disclosure, use modulation, use estimate, use compensation, use magnet, use fragment, use subset, use timing, use process, use permit, use highlight, use conductance, use alert, use ordering, use immunofluorescence, indicate use, use specification, use photograph, use parallelism, use entropy, use queue, use estimation, use dictionary, use engineering, use slider, use chromatography, use transmission, use alignment, use category, use manufacturing, use agonist, use implementation, use library, use cleaner, use computer, use popularity, use tonus, use ontology, use identification, use artifact, use coding, use affinity, use ophthalmoscope, use number, use intent, use connectivity, use prop, use simulation, use headphone, use shifter, use container, use excitation, use drawing, use positioning, use indexing, use feature, use handle, use storage, use descriptor, use microphone, use prediction, use bladder, intervene use, use pseudo, use telephone, use filter, use sharing, use response, use correction, use sample, use relationship, use extract, use repeater, use copy, use regularization, use association, use mechanism, use imaging, use software, use chamber, use drone, use transistor, restrict use, use citation, use variation, use mapping, use article, use awareness, use coordination, use manifold, use replay, make use, use electrode, use electromyography, use vehicle, use probability, use vision, use personification, use distribution, use foresight, use platform, use operation, use cycle, control use, use electroencephalogram, use quantization, use batch, use deviation, use grammar, use knowledge, use prefix, use playback, use concealment, use account, use replacement, use vibration, use array, use scoring, use scheduler, use spectroscopy, use reward, use summary, use transformer, use insertion, use feedback, use reactor, use supplementation, use therapeutic, use budget, use classifier, use microscopy, use heating, use session, use phosphor, use fingerprint, use vocalization, use material, use segmentation, use nuclease, use pause, use determination, use linkage, use accelerator, use reader, use mirror, use loyalty, use momentum, use datum, use pass, use proposal, use cryptography, quantify use, use capability, use layout, use multitude, use guarantee, use avalanche, use stream, use supervision, use augmentation, use delivery, use earphone, use condition, use transformation, use currency, use newsletter, use networks, use guidance, use search, use application, use extractor, use strategy, use qualification, use snapshot, use spectrometer, use pointer, use difficulty, use element, use dispersion, use dioxide, use stroke, use triangulation, use analyzer, use website, use telemetry, use velocity, use communication, use apprenticeship, use antagonist, use replication, use recognition, use comparison, use selection, use frequency, use polishing, use pruning, use repetition, use format, use satisfaction, use mismatch, use messenger, use protocol, use observation, use approximation, use scheduling, use command, use decoding, use magnetometer, use method, use marker, use expression, use peptide, use nitrogen, use pricing, use teacher, use entry, use publication, use proof, use coordinate, use tracking, use swarm, use beacon, use package, use metabolism, use mobile, use intersection, use source, use concept, use variability, use preference, use clumping, use accelerometer, use propagation, use interoperability, use request, use reference, use microscope, use multiple, use hierarchy, predict use, use preview, enable use, use dilation, use kernel, use lexicon, use translation, use adder, use coherence, use effect, use fusion, use technique, use threshold, use marking, use receptivity, use fluorescence, use structure, use nanotube, use browser"
Aircraft Cargo Handling Supervisors,"distribute cargo, maximize use","use access, use reasoning, use compound, use distillation, use terminal, use prescription, use intelligence, use doppler, use pseudonym, use adaptability, use distance, use lactate, use exercise, use assistant, use molecule, use estimator, use angle, use transfer, use catalyst, use provenance, use intermediary, use confidence, use scanning, use sensor, use curricula, use tracing, use asset, use emulation, use ultrasound, use spectrum, use spectra, use apparatus, use appliance, use filtration, use making, use market, use heuristic, use extension, use psilocybin, use resin, use regression, use maze, identify use, use strength, use geometry, use automation, use utterance, use variable, use spline, use preparation, use planner, use reality, use scan, use protection, use ledger, use trajectory, use scale, reduce use, manage use, use modeling, use radix, use topology, use reinforcement, use assembly, use accumulation, use collaboration, use fingerprinting, use polymer, use running, use glove, use neuroscience, use ellipse, use lithography, use support, use perturbation, use document, use satellite, use detection, use metadata, use chain, use patch, use background, use lineage, use normalizer, use graph, use conversion, use affect, use reaction, use programming, use example, use server, use functionality, use synchronization, use attribute, use processing, use pillar, use content, use override, use secret, use interaction, use repository, use credential, use domain, use counter, use combination, use curve, use value, use circumstance, use illustration, use normalization, use engine, use lattice, use tetracycline, use sensing, use location, use consensus, use collection, use candidate, use consumer, use discovery, use count, use particle, use tensor, use assessment, use recovery, use guesser, use relevance, use abstract, use difference, use resource, use occupancy, use management, use update, use heartbeat, monitor use, use database, use surveillance, use vector, use cognition, use universal, use cue, use surrogate, use similarity, use argument, use palette, determine use, use pipeline, classify use, use histogram, use keypad, use input, use localization, use automobile, use clustering, use pegboard, use allocation, use gesture, use deferral, use buffer, use message, use potential, use weighting, use capture, facilitate use, use correlation, use camera, use type, use sampling, use matrix, use asymmetry, use diagnosis, use packaging, use algorithm, use resonance, use subsystem, use connection, use parameter, use operator, use configuration, use factorization, use signature, use entity, use magnification, use plurality, use fabric, use tiling, use washer, use polymerization, use object, use packer, use logic, use measurement, use imagery, use index, use reasoner, use propensity, use LOGIC, use contract, use pose, use skip, use manipulator, use evaluation, use portion, use environment, use accent, use integration, use hydrogel, use robot, use sentiment, use profiling, use quantification, use tomography, use property, use patient, use routine, use community, use shield, use indicator, use dialogue, use depolarization, use formulation, use quotient, use characteristic, use contour, use definition, use consistency, use controller, use depth, use window, use field, use provider, use evolution, use variant, use table, use overlay, use absorption, use measure, use subunit, use output, use fluctuation, use benzodiazepine, use graphic, use relation, use representation, use circuit, use workflow, use forecasting, use stub, use projection, use cache, use reclassification, use classification, use scheme, use recording, use computation, modify use, use boundary, use mean, use uncertainty, use behavior, use electrocardiogram, use convolution, use imitation, use consumption, use template, use commerce, use compression, use reconstruction, use plating, use device, use internet, use discrimination, use protease, use diagram, use partitioning, use pharmaceutical, use certificate, use landmark, use relay, use volume, use verification, use synthesis, use steering, use neighborhood, use generation, use instance, use interrogation, use query, use header, use coupling, use optimization, use encoding, use exception, use function, use insight, use module, use comprehension, use summarization, use factor, use cookie, use therapy, use sweep, use ligation, use computing, use scaling, use generator, use dispersal, use medium, use technology, use signal, use information, use component, use bottleneck, use resolution, use sensitivity, use alloy, use instantiation, use interpolation, use slice, use framework, use character, use surface, use concatenation, use collision, use token, use handler, use system, use correspondence, use product, use bonding, use analysis, use differentiator, use premise, use thermography, use dynamic, use control, use antibody, use client, use feed, use tool, use bandwidth, use stability, use mixture, use composition, use taxonomy, use texture, use catheter, use variance, use reconnaissance, use inhibitor, use switching, use colour, use representative, use anatomy, use metric, use equilibrium, use constraint, use navigation, use antenna, use utility, use canvas, use proxy, use neighbor, use spectrometry, use picture, use honeypot, use construct, use validation, use dimension, support use, use monitoring, use grating, use phrase, use problem, use oracle, use security, use question, use inspection, use prior, use statistic, use actuator, use manager, use personality, use sequence, use tending, use pixel, use intensity, use induction, use vocabulary, use choice, use physiology, adjust use, use store, use movement, use radiation, use address, use architecture, use perspective, detect use, use language, use identifier, use tracker, use conversation, use cloud, use reset, use stimulus, use stack, use tachograph, use forward, use hardware, use compiler, use revenue, use amplification, use understanding, use ethernet, use wearable, use catalog, use dialog, use driving, use criterion, use interface, use cluster, use retrieval, use context, use predictor, use reduction, use departure, use packet, use segment, use electrolysis, use spelling, use waveform, use diversity, use activity, use equipment, use service, use balancing, use manner, use display, use substitution, contain cargo, use interval, use design, use recommendation, use algebra, use thesaurus, use simulator, use learning, use basis, use primitive, use experience, use warping, use space, use profile, use attention, use authentication, use envelope, use perforation, use transducer, use repertoire, use portal, use evaluator, use network, use annotation, use irradiation, use primer, use locator, use guide, use inference, use tocopherol, use ablation, use principle, optimize use, use separation, use blueprint, use machine, use transaction, use direction, use approach, use result, use seam, use sensitizer, use block, use string, use reagent, use alias, use grid, use gradient, use solution, use infrastructure, use procedure, use bacteriophage, use range, use symmetry, use grouping, use interest, use program, use capacity, use polygon, use memory, use illumination, use inversion, use adjustment, use oscillator, use contrast, use indication, use instruction, use frame, use optic, use modulus, use detector, use target, use channel, use check, use description, use stimulation, use decomposition, use temperature, use base, use rotation, use hologram, use juxtaposition, use oscillation, use pressure, use orchestration, use priming, use diffusion, use pattern, use encryption, use commodity, use protein, use instrument, use probe, use ranking, use spreadsheet, use discriminator, use aggregation, use ensemble, use authorization, use adaptation, use gateway, use occurrence, use shard, use change, use processor, use extraction, use planning, use modality, use training, use biofeedback, use quantum, use cardiogram, use visualization, use wallet, use conditioning, prevent use, use disclosure, use modulation, use estimate, use compensation, use magnet, use fragment, use subset, use timing, use process, use permit, use highlight, use conductance, use alert, use ordering, use immunofluorescence, indicate use, use specification, use photograph, use parallelism, use entropy, use queue, use estimation, use dictionary, use plug, use engineering, use slider, use chromatography, use transmission, use alignment, use category, use core, use manufacturing, use agonist, use implementation, use screen, use library, use cleaner, use computer, use popularity, use tonus, use ontology, use identification, use artifact, use coding, use affinity, use ophthalmoscope, use intent, use connectivity, use prop, use simulation, use headphone, use shifter, use container, use excitation, use drawing, use positioning, use indexing, use feature, use handle, use storage, use descriptor, use microphone, use prediction, use bladder, intervene use, use pulse, use pseudo, use telephone, use filter, use sharing, use ratio, use response, use sample, use relationship, use correction, use extract, use repeater, use regularization, use association, use mechanism, use imaging, use software, use chamber, use drone, use transistor, restrict use, use citation, use variation, use mapping, use awareness, use coordination, use manifold, use replay, make use, use electrode, use electromyography, use vehicle, use probability, use vision, use personification, use distribution, use dial, use foresight, use platform, use operation, use cycle, control use, use electroencephalogram, use quantization, use batch, use deviation, use grammar, use knowledge, use prefix, use playback, use concealment, use account, use replacement, use vibration, use array, use scheduler, use spectroscopy, use reward, use summary, use transformer, use insertion, use feedback, use reactor, use tap, use supplementation, use therapeutic, use budget, use classifier, use microscopy, use heating, use session, use phosphor, use fingerprint, use vocalization, use material, use segmentation, use pause, use determination, use linkage, use accelerator, use reader, use mirror, use loyalty, use momentum, use datum, use pass, use proposal, use cryptography, quantify use, use capability, use layout, use multitude, use guarantee, use avalanche, use stream, use supervision, use augmentation, use delivery, use earphone, use condition, use transformation, use currency, use newsletter, use networks, use guidance, use search, use application, use extractor, use strategy, use qualification, use snapshot, use spectrometer, use pointer, use difficulty, use shape, use element, use dispersion, use dioxide, use cursor, use stroke, use triangulation, use analyzer, use website, use telemetry, use velocity, use communication, use apprenticeship, use antagonist, use model, use replication, use recognition, use comparison, use selection, use frequency, use polishing, use pruning, use repetition, use format, use satisfaction, use mismatch, use messenger, use protocol, use observation, use approximation, use scheduling, use decoding, use magnetometer, use method, use marker, use expression, use peptide, use nitrogen, use pricing, use proof, use coordinate, use tracking, use swarm, use energy, use beacon, use package, use metabolism, use mobile, use intersection, use source, use concept, use variability, use preference, use clumping, use accelerometer, use propagation, use interoperability, use request, use reference, use microscope, use multiple, use hierarchy, predict use, use preview, enable use, use dilation, use kernel, use lexicon, use weight, use translation, use adder, use coherence, use effect, use fusion, use technique, use threshold, use marking, use receptivity, use fluorescence, use structure, use nanotube, use browser"
Remote Sensing Technicians,"collect datum, assess impact","evaluate vulnerability, assess impact, assess effectiveness, assess importance, manage impact, detect impact, consider impact, simulate impact, assess complexity, assess instability, estimate impact, evaluate effect, provide impact, analyze impact, evaluate effectiveness, assess usability, assess severity, assess capability, assess benefit, evaluate impact, monitor impact, assess progression, predict impact, assess productivity, assess effect, assess response, measure impact, collect datum, evaluate influence, determine impact, assess reliability, assess intelligibility, minimize impact"
Community Health Workers,monitor nutrition,"monitor hybridization, monitor orientation, monitor inflammation, monitor consumption, monitor productivity, monitor modality, monitor potentiation, monitor effectiveness"
Electrical and Electronics Drafters,"compare configuration, calculate figure, modify element","modify element, generate specification, construct element, modify sequence, compare attribute, identify element, utilize element, replace element, calculate variation, communicate configuration, modify presentation, modify context, determine element, modify interaction, modify instance, configure interaction, compare object, compare model, compare computer, configure selection, analyze element, modify visualization, determine configuration, configure presentation, modify configuration, modify function, adjust element, optimize configuration, compare segment, modify communication, specify component, modify structure, compare document, incorporate element, compare content, generate element, modify deceleration, transform element, configure aggregation, modify aspect, configure element, compare similarity, describe configuration, select element, evaluate element, modify application, calculate interaction, compare capacity, modify representation, compare plurality, compare portion"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","install component, use jig","use actuator, use slider, use spline, configure appliance, use strut, use tube, instal plurality, use frame, assemble component, use magnet, use stub"
Construction Managers,complete project,project interface
Electrical and Electronics Drafters,"write report, draw chart, display statistic","display functionality, display documentation, display interaction, display information, display indicator, display sequence, display presentation, display configuration, display interface, indicate display, display recommendation, display discrepancy, comprise display, display characteristic, augment display, display annotation, display explanation, display application, display component, display intelligence, display transition, write document, display element, generate display, display metric, display structure, display association, write assessment"
Sociologists,"prepare publication, contain finding","contain disturbance, contain identifier, contain particle, prepare instruction, contain component, contain linkage, contain material, contain composition, contain complex, contain element, prepare intervention, contain information, contain mismatch, contain plurality, contain emulsion, contain derivative, contain invariance, contain compound, prepare composition, prepare application, contain locator, contain uncertainty, contain disinformation, prepare translation"
Health Informatics Specialists,provide consultation,"provide outcome, provide identifier, provide support, provide editing, provide development, provide management, provide summary, provide authentication, provide opportunity, provide quotation, provide extension, provide mismatch, provide condition, provide option, provide encryption, provide retraining, provide process, provide purchase, provide classifier, provide foundation, provide biofeedback, provide intervention, provide content, provide interface, provide orchestration, provide architecture, provide stabilization, provide accessibility, provide performance, provide proposal, provide effectiveness, provide platform, provide relevance, provide experience, provide descriptor, provide expression, provide advertising, provide consultation, provide resource, provide operator, provide awareness, provide terminology, provide emergence, provide specification, provide product, provide advice, provide classification, provide container, provide multiplication, provide policy, provide verification, provide security, provide network, provide recovery, provide inspiration, provide portal, provide operation, provide assistant, provide perception, provide change, provide dashboard, provide result, provide transformation, facilitate evaluation, provide coverage, provide callback, provide representation, provide profile, provide comparison, provide database, provide infotainment, provide objective, provide indication, provide exchange, provide reference, provide notification, provide timing, provide understandability, provide capability, provide communication, provide advisor, provide combination, provide ordering, provide selection, provide synchronization, provide engineering, provide incentive, provide optimization, provide healthcare, provide advancement, provide function, provide tracking, provide mapping, provide functionality, provide cognition, provide simulation, provide program, provide prognosis, provide discovery, provide relationship, provide implant, provide detection, provide prediction, provide rendering, provide credential, provide redundancy, provide allocation, provide prevention, provide monitoring, provide arrangement, provide assurance, provide assessment, provide control, provide maintenance, provide portion, provide distance, provide benefit, provide treatment, provide uncertainty, provide visualization, provide sensation, provide adaptation, provide improvement, provide terminal, provide announcement, provide titration, provide modification, provide commercial, provide pruning, provide nutrition, provide environment, provide enhancement, provide sorting, provide payment, provide transcription, provide context, distribute consultation, provide therapy, provide dialogue, provide quality, provide connectivity, provide expansion, provide translation, provide approach, provide synthesis, provide framework, provide agreement, provide stimulation, provide education, provide screening, provide location, provide refocusing, provide response, provide instruction, provide deployment, provide indicator, provide vision, provide portability, provide impairment, provide service, provide nursing, provide commerce, provide setting, provide generator, provide provenance, provide calibration, provide integrity, provide resolution, provide systems, provide correction, provide material, provide activity, provide exercise, provide account, provide shortcut, provide interaction, provide explanation, provide information, provide continuity, provide instructor, provide generation, provide stretching, provide recommendation, provide science, provide compensation, provide tolerance, provide alternative, provide server, provide training, provide transfer, provide application, provide mobility, provide friction, provide isolation, provide distribution, provide guidance, provide automation, provide suggestion, provide question, provide meeting, provide marketplace, provide access, provide therapeutic, provide pressure, provide segmentation, provide infrastructure, provide reasoning, provide repository, provide plurality, provide transaction, provide session, provide collaboration, provide amusement, provide prompt, provide evaluation, provide apparatus, provide reduction, provide intelligence, provide messaging, provide estimate, provide presentation, provide strategy, provide solution, provide direction, provide attention, provide schedule, provide auction, provide reversal, provide mechanism, provide protection, provide telecommunication, provide overlay, provide workflow, provide internet, provide monitor, provide organization, provide processor, provide identification, provide avoidance, provide reservation, provide testing, provide customer, provide complication, offer communication, provide parameter, provide attribution, provide webpage, provide course, provide interoperability, provide guideline, provide conversation, provide document, provide recognition, provide equipment, provide protocol, provide action, provide element, provide processing, provide dialog, provide survey, provide interpretation, provide advertisement, provide reflection, provide substance, provide warning, provide structure, provide configuration, provide insulation, provide analysis, provide aggregation, provide category, provide transmission, provide module, provide agility, provide learning, provide assistance, provide diagnosis, provide component, provide feedback, provide definition, provide coordination, provide pacing, provide eta, provide availability, provide measure, provide connection"
Tax Preparers,provide planning,"provide identifier, provide support, provide editing, provide development, provide management, provide summary, provide authentication, provide opportunity, provide quotation, provide extension, provide mismatch, provide condition, provide option, provide process, provide retraining, provide purchase, provide foundation, provide classifier, provide orchestration, provide interface, provide intervention, provide stabilization, provide architecture, provide accessibility, provide performance, provide proposal, provide effectiveness, provide platform, provide relevance, provide experience, provide descriptor, provide advertising, provide consultation, provide resource, provide terminology, provide awareness, provide emergence, provide specification, provide classification, provide multiplication, provide policy, provide verification, provide security, provide network, provide recovery, provide inspiration, provide portal, provide operation, provide perception, provide change, provide dashboard, provide transformation, provide coverage, provide representation, provide comparison, provide infotainment, provide objective, provide indication, provide exchange, provide reference, provide notification, provide timing, provide understandability, provide capability, provide plan, provide communication, provide combination, provide ordering, provide selection, provide synchronization, provide engineering, provide incentive, provide optimization, provide healthcare, provide advancement, provide function, provide tracking, provide mapping, provide functionality, provide simulation, provide program, provide discovery, provide relationship, provide detection, provide prediction, provide rendering, provide credential, provide redundancy, provide allocation, support planning, provide prevention, provide monitoring, provide arrangement, provide assurance, provide assessment, provide control, provide maintenance, provide portion, provide benefit, provide treatment, provide uncertainty, provide visualization, provide improvement, provide terminal, provide announcement, provide titration, provide modification, provide commercial, provide pruning, provide nutrition, provide problem, provide environment, provide enhancement, provide sorting, provide transcription, provide context, provide connectivity, provide expansion, provide approach, provide framework, provide agreement, provide stimulation, provide education, provide screening, provide location, provide refocusing, provide response, provide instruction, provide deployment, provide indicator, provide vision, provide portability, provide impairment, provide service, provide nursing, provide commerce, provide setting, provide generator, provide provenance, provide calibration, provide integrity, provide resolution, provide systems, provide correction, provide activity, provide exercise, provide shortcut, provide interaction, provide explanation, provide information, provide continuity, provide instructor, provide generation, provide stretching, provide recommendation, provide compensation, provide tolerance, provide alternative, provide training, provide transfer, provide application, provide mobility, provide isolation, provide distribution, provide guidance, provide automation, provide suggestion, provide question, provide meeting, provide marketplace, provide therapeutic, provide segmentation, provide infrastructure, provide reasoning, provide repository, provide transaction, provide linkage, provide collaboration, provide amusement, provide prompt, provide evaluation, provide apparatus, provide aspect, provide reduction, provide intelligence, provide messaging, provide estimate, provide presentation, provide strategy, provide solution, provide direction, provide attention, provide schedule, provide protection, provide mechanism, provide workflow, provide telecommunication, provide overlay, provide internet, provide monitor, provide organization, provide processor, provide identification, provide avoidance, provide reservation, provide testing, provide complication, offer communication, provide attribution, provide course, provide interoperability, provide guideline, provide conversation, provide document, provide recognition, provide equipment, provide protocol, provide processing, provide element, provide interpretation, provide advertisement, provide reflection, provide substance, provide warning, provide structure, provide configuration, provide insulation, provide analysis, provide aggregation, provide transmission, provide agility, provide learning, provide assistance, provide component, provide definition, provide coordination, provide pacing, provide eta, provide availability, provide measure, provide connection"
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","inspect product, meet specification","meet information, determine product, inspect appliance, identify product, meet requirement, meet criterion, meet management, meet conception, monitor product, prepare product, inspect packaging, recommend product, meet participant, evaluate product, meet service"
Sewing Machine Operators,"stretch edge, form section","form prediction, form line, compile form, form structure, form database, form datum, form coating, form information, form display, form pattern, form extraction, form region, form system, distribute form, transform form, edge gateway, form object, form field, form composite, form representation, complete form, form network, form precursor, configure form, form element, form feature, form equipment, form processor, form document, form material, generate form"
Terrazzo Workers and Finishers,"spread paper, spread concrete, form base","sequence base, form composite, base configuration, construct base, form structure, incorporate base, base determination, base representation, base identification, base composition, form element, form unit, base classification"
Petroleum Engineers,"modify machinery, apply principle","apply technology, apply correction, apply criterion, apply configuration, apply rotation, apply strength, apply protection, apply variable, apply metric, apply stimulation, apply techniques, apply technique, apply similarity, apply intelligence, apply pattern, apply preference, apply algorithm, apply enhancement, apply principle, apply classifier, apply template, apply rule, apply reflectance, apply knowledge, apply information, apply measurement, apply scheme, apply timeline, apply prediction, apply representation, apply processing, apply optimization, apply method, apply computation"
Solar Sales Representatives and Assessors,"create package, satisfy need","predict need, create signature, meet need, create pipeline, create framework, create product, assess need, build package, generate package, create apparatus, determine need, create custom, create software, create advertisement, identify need, create interface"
Adapted Physical Education Specialists,maintain inventory,"maintain professional, maintain representation, maintain continuity, maintain facility, maintain function, maintain deployment, maintain statistic, maintain environment, maintain condition, maintain knowledge, maintain confidentiality, maintain resource, maintain compatibility, maintain software, maintain efficiency, maintain throughput, maintain synchronization, maintain ledger, maintain believability, maintain building, manage inventory, maintain consistency, maintain information, maintain equipment, maintain database, maintain authentication, maintain directory, maintain integrity, maintain readiness"
